dateTime,courseOGTrue,relativeToTN,courseOGMagnetic,relativeToMN,speedOverGroundKnots,SOGKUnits,speedOverGroundKMPH,SOGKMPHUnits,mode,checkSum
2020-08-12 00:00:03.464133,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:07.458943,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:10.464728,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:14.464560,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:18.459375,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:21.465170,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:25.464979,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:29.466044,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:33.465834,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:37.466924,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:41.466739,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:45.466549,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:49.466358,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:53.467401,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:00:57.467222,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:01.468274,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:05.468101,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:09.467926,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:13.468996,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:17.468793,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:21.468615,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:25.469805,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:29.464566,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:32.469174,354.5,T,351.1,M,0.0,N,0.0,K,A,22
2020-08-12 00:01:36.470241,350.2,T,346.8,M,1.0,N,1.8,K,A,26
