dateTime,heading,HID,checkSum
2020-08-12 00:00:00.514656,150.4,T,29
2020-08-12 00:00:04.035538,150.4,T,29
2020-08-12 00:00:07.498955,150.5,T,28
2020-08-12 00:00:10.503460,150.4,T,29
2020-08-12 00:00:14.031973,150.4,T,29
2020-08-12 00:00:17.036473,150.6,T,2B
2020-08-12 00:00:20.504909,150.4,T,29
2020-08-12 00:00:24.037143,150.5,T,28
2020-08-12 00:00:27.499273,150.1,T,2C
2020-08-12 00:00:30.506301,150.4,T,29
2020-08-12 00:00:34.037255,150.0,T,2D
2020-08-12 00:00:37.505657,150.3,T,2E
2020-08-12 00:00:41.037850,150.0,T,2D
2020-08-12 00:00:44.506301,150.4,T,29
2020-08-12 00:00:48.033471,150.2,T,2F
2020-08-12 00:00:51.039244,150.3,T,2E
2020-08-12 00:00:54.506467,150.4,T,29
2020-08-12 00:00:58.039926,150.5,T,28
2020-08-12 00:01:01.507037,150.3,T,2E
2020-08-12 00:01:05.040510,150.4,T,29
2020-08-12 00:01:08.508911,150.5,T,28
2020-08-12 00:01:12.039852,150.6,T,2B
2020-08-12 00:01:15.502024,150.3,T,2E
2020-08-12 00:01:19.035479,150.1,T,2C
2020-08-12 00:01:22.041268,150.4,T,29
2020-08-12 00:01:25.508556,150.6,T,2B
2020-08-12 00:01:29.041961,150.7,T,2A
2020-08-12 00:01:32.509170,149.9,T,2C
2020-08-12 00:01:36.046361,150.1,T,2C
2020-08-12 00:01:39.508787,150.5,T,28
2020-08-12 00:01:43.042222,150.4,T,29
2020-08-12 00:01:46.509374,150.4,T,29
2020-08-12 00:01:50.042458,150.2,T,2F
2020-08-12 00:01:53.510878,150.4,T,29
2020-08-12 00:01:57.043417,150.5,T,28
2020-08-12 00:02:00.510612,150.1,T,2C
2020-08-12 00:02:04.044047,150.3,T,2E
2020-08-12 00:02:07.511360,150.1,T,2C
2020-08-12 00:02:11.043536,150.5,T,28
2020-08-12 00:02:14.044712,150.2,T,2F
2020-08-12 00:02:17.511881,150.7,T,2A
2020-08-12 00:02:21.044948,150.5,T,28
2020-08-12 00:02:24.507216,150.1,T,2C
2020-08-12 00:02:27.513031,150.2,T,2F
2020-08-12 00:02:31.040228,150.1,T,2C
2020-08-12 00:02:34.044770,150.2,T,2F
2020-08-12 00:02:37.513166,150.2,T,2F
2020-08-12 00:02:41.045511,150.2,T,2F
2020-08-12 00:02:44.513926,150.4,T,29
2020-08-12 00:02:48.046368,150.2,T,2F
2020-08-12 00:02:51.514775,150.5,T,28
2020-08-12 00:02:55.046995,150.4,T,29
2020-08-12 00:02:58.514102,150.3,T,2E
2020-08-12 00:03:02.046684,150.5,T,28
2020-08-12 00:03:05.515143,150.4,T,29
2020-08-12 00:03:09.047301,150.4,T,29
2020-08-12 00:03:12.515749,150.5,T,28
2020-08-12 00:03:16.047912,150.5,T,28
2020-08-12 00:03:19.516352,150.2,T,2F
2020-08-12 00:03:23.048551,150.4,T,29
2020-08-12 00:03:26.515774,150.1,T,2C
2020-08-12 00:03:30.049154,150.1,T,2C
2020-08-12 00:03:33.516318,150.6,T,2B
2020-08-12 00:03:37.049758,150.4,T,29
2020-08-12 00:03:40.516942,150.2,T,2F
2020-08-12 00:03:44.049924,150.3,T,2E
2020-08-12 00:03:47.517052,150.2,T,2F
2020-08-12 00:03:51.050494,150.4,T,29
2020-08-12 00:03:54.517645,150.3,T,2E
2020-08-12 00:03:58.050227,150.2,T,2F
2020-08-12 00:04:01.051153,150.9,T,24
2020-08-12 00:04:04.519575,150.5,T,28
