dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:00:00.570861,289.5,R,1.3,N,A,27
2020-08-12 00:00:04.091807,299.7,R,1.2,N,A,25
2020-08-12 00:00:07.553942,280.9,R,1.8,N,A,29
2020-08-12 00:00:10.559736,285.6,R,1.2,N,A,29
2020-08-12 00:00:14.088213,283.0,R,1.9,N,A,22
2020-08-12 00:00:17.092757,271.3,R,1.8,N,A,2D
2020-08-12 00:00:20.559952,271.3,R,2.1,N,A,27
2020-08-12 00:00:24.093429,271.3,R,1.4,N,A,21
2020-08-12 00:00:27.555524,245.0,R,2.1,N,A,23
2020-08-12 00:00:30.562597,262.2,R,1.9,N,A,2F
2020-08-12 00:00:34.093520,271.3,R,2.2,N,A,24
2020-08-12 00:00:37.561951,294.3,R,1.5,N,A,2B
2020-08-12 00:00:41.094124,292.8,R,2.2,N,A,22
2020-08-12 00:00:44.562554,265.7,R,2.4,N,A,23
2020-08-12 00:00:48.089737,285.8,R,1.2,N,A,27
2020-08-12 00:00:51.095519,291.0,R,1.7,N,A,2F
2020-08-12 00:00:54.562718,291.4,R,1.3,N,A,2F
2020-08-12 00:00:58.094907,301.1,R,1.5,N,A,24
2020-08-12 00:01:01.563321,301.0,R,1.5,N,A,25
2020-08-12 00:01:05.095494,292.3,R,1.8,N,A,20
2020-08-12 00:01:08.565162,290.0,R,1.8,N,A,21
2020-08-12 00:01:12.096119,294.5,R,1.5,N,A,2D
2020-08-12 00:01:15.558274,293.0,R,1.3,N,A,29
2020-08-12 00:01:19.091751,287.2,R,1.2,N,A,2F
2020-08-12 00:01:22.097515,291.7,R,1.2,N,A,2D
2020-08-12 00:01:25.564814,298.1,R,1.7,N,A,27
2020-08-12 00:01:29.096970,291.3,R,1.2,N,A,29
2020-08-12 00:01:32.097803,287.0,R,1.3,N,A,2C
2020-08-12 00:01:35.564984,281.6,R,1.4,N,A,2B
2020-08-12 00:01:38.566039,284.2,R,1.3,N,A,2D
2020-08-12 00:01:42.098213,264.4,R,1.4,N,A,22
2020-08-12 00:01:45.565378,283.6,R,1.2,N,A,2F
